Year,State,Ag District,County,yield,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG
2020,ILLINOIS,NORTHEAST,LA SALLE,186.3,,571.0,571.0,111.25,68.125,9.125,31.5,9.5,2.25,132.5,23.75,145.75,21.0,10.2,,13.33333333,-21.525,76.0,85.75,69.3375,36.0,,-0.425,-4.425,-6.1,-8.325,-11.525,-1.125,-3.025,-5.825,-9.45,-11.1,3289.6,,,3289.6,,,,,,,,,,,948.4125,555.25,10.9775,16.3975,5.56,,,,,,,
2020,ILLINOIS,NORTHEAST,LAKE,165.5,3.5,425.35,425.35,116.44444440000001,72.55555556,12.11111111,40.66666667,10.0,2.0,146.0,29.5,135.5,11.0,60.0,20.0,23.33333333,-21.65,139.33333330000002,105.0,69.07777778,34.7,,-0.3,-3.55,-4.65,-6.9,-12.2,-0.3,-3.85,-5.25,-8.25,-9.95,3657.2666670000003,,,3657.2666670000003,,,,,,,,,,,1061.4,717.0,9.735,14.825,4.635,210.0,210.0,,,19.7,27.3,
2020,ILLINOIS,NORTHEAST,MCHENRY,180.3,,481.5,481.5,116.375,70.875,12.0,50.0,10.0,3.0,154.0,27.0,142.0,27.0,13.0,,13.0,-23.9,194.66666669999998,123.66666670000001,57.2125,36.1,,-1.1,-3.3,-5.0,-6.7,-11.1,-0.6,-3.3,-6.7,-6.7,-12.2,3599.2,,,3599.2,,,,,,,,,,,1048.625,659.0,9.93,15.65,4.21,,,,,,,
2020,ILLINOIS,NORTHEAST,WILL,175.1,,531.2,531.2,118.3529412,73.58823529,8.764705882000001,21.75,10.4,1.5,135.0,25.5,147.0,17.5,5.666666667,,7.0,-21.7,114.5,116.4,67.47647059,34.7,,0.0,-3.3,-5.25,-7.2,-11.95,-2.2,-2.2,-5.85,-8.65,-10.6,3345.0,,,3345.0,,,,,,,,,,,1011.452632,728.2,10.795,16.045,5.545,,,,,,,
2020,ILLINOIS,NORTHWEST,BUREAU,200.4,,518.1666667,518.1666667,90.33333333,68.0,8.666666667000001,29.0,10.66666667,4.0,138.66666669999998,26.0,146.33333330000002,18.66666667,15.0,,31.0,-23.33333333,127.0,118.66666670000001,44.96666667,34.43333333,,-0.566666667,-3.3,-6.1333333329999995,-7.766666667000001,-11.5,-1.8333333330000001,-3.5,-5.166666667,-11.3,-11.3,3446.666667,,,3446.666667,,,,,,,,,,,926.0666667000002,785.0,10.49,16.03,4.9566666669999995,,,,,,,
2020,ILLINOIS,NORTHWEST,CARROLL,200.7,,,,109.66666670000001,65.66666667,10.66666667,,15.0,,,,,,6.0,,15.0,,,203.0,57.5,,,,,,,,,,,,,3486.0,,,3486.0,,,,,,,,,,,955.0666667000002,929.0,,,,,,,,,,
2020,ILLINOIS,NORTHWEST,HENRY,209.0,,500.5,500.5,108.6,65.8,10.2,32.0,10.5,3.5,140.5,31.5,151.0,18.5,,,11.0,-22.5,178.0,147.5,64.76,34.45,,-0.3,-3.6,-6.4,-6.95,-9.15,-1.1,-2.5,-5.0,-11.15,-11.15,3453.7,,,3453.7,,,,,,,,,,,940.6666667000002,775.5,10.475,15.895,5.055,,,,,,,
2020,ILLINOIS,NORTHWEST,JO DAVIESS,194.3,,418.9,418.9,105.4,66.2,11.8,64.5,12.33333333,6.0,155.66666669999998,41.33333333,137.66666669999998,14.0,7.0,,13.0,-26.46666667,216.0,227.0,59.6,33.9,,-0.36666666700000006,-2.566666667,-6.8666666670000005,-7.6,-9.066666667,-2.0333333330000003,-3.333333333,-6.3,-8.533333333,-12.56666667,3706.033333,,,3706.033333,,,,,,,,,,,1026.7,923.6666667000002,9.406666667,14.96666667,3.84,,,,,,,21.5
2020,ILLINOIS,NORTHWEST,LEE,195.0,,438.0,438.0,98.4,70.2,10.8,35.0,11.5,4.0,149.0,37.5,146.5,12.0,12.5,,18.0,-23.05,135.66666669999998,111.25,68.36,34.4,,-1.7,-2.75,-5.8,-7.5,-10.55,-1.65,-3.3,-4.4,-10.85,-10.85,3733.0,,,3733.0,,,,,,,,,,,1017.48,704.75,9.745,15.17,4.315,,,,,,,
2020,ILLINOIS,NORTHWEST,MERCER,192.1,,553.1,553.1,99.0,63.33333333,11.0,26.0,10.0,3.0,132.0,26.0,153.5,20.0,,,,-22.5,102.0,157.0,53.93333333,35.55,,-0.3,-3.3,-6.15,-6.7,-10.55,-0.3,-3.85,-6.35,-9.7,-12.2,3364.0,,,3364.0,,,,,,,,,,,914.3666667000001,717.0,10.8,16.12,5.475,,,,,,,
2020,ILLINOIS,NORTHWEST,OGLE,191.8,,,,107.0,71.0,13.0,,15.0,,,,,,,,,,,127.0,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,998.4,931.0,,,,,,,,,,
2020,ILLINOIS,NORTHWEST,PUTNAM,196.3,,553.1,553.1,120.0,74.0,10.0,26.0,11.0,2.0,121.0,17.0,158.0,23.0,11.0,,40.0,-21.7,102.0,71.0,52.8,33.9,,0.0,-2.2,-5.6,-7.2,-12.8,-2.2,-2.2,-4.4,-11.1,-11.1,3159.6,,,3159.6,,,,,,,,,,,973.3,654.0,11.53,17.02,6.04,,,,,,,
2020,ILLINOIS,NORTHWEST,ROCK ISLAND,199.3,3.6,553.6333333,553.6333333,105.6,62.8,10.8,,7.666666667,3.333333333,129.3333333,26.0,149.25,21.75,152.0,8.0,43.0,-22.2,,162.33333330000002,66.06,35.0,,0.0,-2.933333333,-5.366666667,-7.566666667000001,-12.0,-0.36666666700000006,-3.833333333,-8.866666667,-10.9,-10.9,3283.1333329999998,,,3283.1333329999998,,,,,,,,,,,991.4,670.6666667000001,10.91333333,16.1725,5.666666667,310.0,310.0,,,25.0,36.2,
2020,ILLINOIS,NORTHWEST,STEPHENSON,205.0,,401.8,401.8,108.75,67.5,10.5,54.5,14.5,3.0,156.0,38.0,137.0,11.0,13.0,,,-23.9,222.0,220.0,53.575,33.3,,-0.6,-4.4,-4.4,-8.3,-8.9,-2.2,-2.2,-5.0,-11.1,-11.1,3740.2,,,3740.2,,,,,,,,,,,1005.94,923.0,9.23,14.67,3.79,,,,,,,
2020,ILLINOIS,NORTHWEST,WHITESIDE,186.7,,526.6666667,526.6666667,99.71428571,67.14285714,10.85714286,36.0,11.25,4.0,140.0,31.66666667,148.66666669999998,18.66666667,11.0,,14.66666667,-23.5,152.0,145.75,80.67142857,34.63333333,,-0.566666667,-3.7,-5.366666667,-7.6,-11.83333333,-1.133333333,-3.5,-5.0,-9.666666667000001,-11.86666667,3437.666667,,,3437.666667,,,,,,,,,,,998.2285714,752.75,10.49666667,15.74666667,5.243333333,,,,,,,
2020,ILLINOIS,NORTHWEST,WINNEBAGO,193.0,3.9,562.5,562.5,112.0,70.33333333,9.666666667000001,39.0,10.5,2.0,124.0,23.0,148.0,23.0,82.0,8.0,34.5,-23.2,180.0,123.5,51.8,35.0,,-1.0,-3.2,-6.0,-7.1,-13.2,-1.6,-4.9,-4.9,-11.0,-11.0,3445.4,,,3445.4,,,,,,,,,,,962.2333332999999,682.5,10.78,16.23,5.34,220.0,240.0,,,17.0,32.2,
2020,ILLINOIS,SOUTHEAST,EDWARDS,174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,FRANKLIN,164.5,,804.9,804.9,130.0,87.0,11.0,,,1.0,95.0,11.0,171.0,23.0,2.0,,24.0,-18.3,,,83.55,34.4,,0.0,-4.4,-4.4,-6.7,-11.1,-1.7,-2.2,-5.6,-7.2,-18.3,,,,,,,,,,,,,,,1326.5,,13.56,18.65,8.46,,,,,,,
2020,ILLINOIS,SOUTHEAST,GALLATIN,177.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,HAMILTON,170.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216.1,,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,JEFFERSON,152.9,,624.2,624.2,125.5,81.25,14.25,,,0.0,90.0,10.0,158.0,11.0,4.0,,37.0,-15.0,,,69.225,32.8,,-1.1,-6.1,-6.1,-8.3,-11.7,-4.4,-4.4,-4.4,-6.7,-10.6,2645.5,,,2645.5,,,,,,,,,,,1235.3,,13.04,18.02,8.06,,,,,,,
2020,ILLINOIS,SOUTHEAST,MASSAC,164.2,,,,136.0,91.0,13.0,,,,,,,,,,,,,,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.6,,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,POPE,186.9,,758.9,758.9,94.5,77.0,15.0,,,0.0,78.0,4.0,184.0,29.0,34.0,,3.0,-13.3,,,80.5,33.3,,-0.6,-5.0,-5.0,-8.3,-11.1,-0.6,-3.9,-4.4,-7.8,-8.9,2176.05,,,2176.05,,,,,,,,,,,1271.0,,14.47,20.3,8.63,,,,,,,
2020,ILLINOIS,SOUTHEAST,SALINE,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,WABASH,171.7,,,,133.0,88.0,12.0,1.0,1.0,,,,,,,,,,25.0,28.0,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.5,28.0,,,,,,,,,,
2020,ILLINOIS,SOUTHEAST,WAYNE,170.6,,818.0,818.0,106.33333329999999,80.66666667,17.33333333,1.0,1.0,0.0,75.0,4.0,182.0,49.0,9.5,,13.5,-13.3,25.0,25.0,104.5666667,35.6,,-1.1,-5.0,-5.0,-7.2,-11.7,0.0,-4.4,-4.4,-6.7,-9.4,2365.8,,,2365.8,,,,,,,,,,,1386.633333,25.0,14.26,20.1,8.43,,,,,,,
2020,ILLINOIS,SOUTHEAST,WHITE,177.6,,676.0,676.0,119.0,84.0,14.0,,,0.0,115.0,5.0,172.0,28.0,,,,-13.3,,,111.5,33.9,,-0.6,-4.4,-4.4,-7.8,-11.1,-1.7,-3.3,-5.0,-6.7,-9.4,2609.8,,,2609.8,,,,,,,,,,,1434.5,,13.1,19.42,6.78,,,,,,,
2020,ILLINOIS,SOUTHWEST,ALEXANDER,182.6,,863.0,863.0,,,,,,0.0,46.0,5.0,174.0,39.0,,,,-12.2,,,,35.0,,-1.1,-6.1,-6.1,-8.3,-11.1,-0.6,-3.3,-4.4,-7.8,-12.2,1989.6,,,1989.6,,,,,,,,,,,,,14.96,19.91,10.01,,,,,,,
2020,ILLINOIS,SOUTHWEST,CLINTON,176.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.2,,,,,,,,,,,
2020,ILLINOIS,SOUTHWEST,JACKSON,177.3,3.1,762.6,762.6,124.0,84.66666667,13.5,1.0,1.0,0.0,89.0,7.0,174.0,31.5,120.0,56.0,23.5,-12.75,25.0,25.0,69.96666667,34.15,,-0.55,-3.3,-5.8,-7.2,-9.95,-1.65,-3.8,-4.95,-8.85,-10.8,2484.1,,,2484.1,,,,,,,,,,,1278.5,46.0,13.825,19.565,8.08,210.0,180.0,,,20.1,31.3,
2020,ILLINOIS,SOUTHWEST,JOHNSON,166.0,,,,124.0,92.0,11.0,0.0,0.0,,,,,,,,,,13.0,13.0,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.6,16.0,,,,,,,,,,
2020,ILLINOIS,SOUTHWEST,MONROE,157.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,SOUTHWEST,PERRY,159.6,,711.2,711.2,116.5,87.0,11.5,,,0.0,90.5,6.5,169.0,22.0,10.0,,14.0,-13.05,,,66.95,33.6,,-0.85,-4.15,-5.55,-6.95,-10.85,-1.7,-3.3,-5.0,-8.6,-11.1,2502.65,,,2502.65,,,,,,,,,,,1192.75,,13.59,19.14,8.035,,,,,,,
2020,ILLINOIS,SOUTHWEST,PULASKI,176.3,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ILLINOIS,SOUTHWEST,RANDOLPH,168.0,,,,117.75,77.5,12.25,1.0,0.0,,,7.0,163.0,27.0,25.0,,,,25.0,13.0,72.6,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,1191.7,18.0,,19.07,,,,,,,,
2020,ILLINOIS,SOUTHWEST,ST CLAIR,163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
